event_id,date,event_description,event_type,actor,contradiction_flag,drift_indicator,severity_0_10,pressure_type,pressure_flag,latency_flag,source_name,source_url
B011,2014-09-01,"Boeing projects 737 MAX production rate of 47 aircraft per month by 2017; delivery schedule committed to airline customers with financial penalty clauses for delay; investor guidance quantifies MAX contribution to earnings per share; program now has three simultaneous external commitments — airline contracts, investor guidance, FAA type certificate timeline — all requiring schedule maintenance",financial_milestone,Boeing,1,milestone_despite_concern,5,financial,1,0,Boeing 2014 Annual Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000012927&type=10-K&dateb=&owner=include&count=40
B012,2015-06-01,"Internal Boeing engineering review recommends dual AoA sensor input for MCAS redundancy; single sensor architecture means single point of failure drives entire stabilizer control system; recommendation not implemented; cost and weight cited; schedule impact cited; finding not escalated beyond working group; single sensor architecture locked into production design",warning_signal,Boeing Engineers,1,warning_dismissed,8,operational,0,1,NTSB Accident Report AAR-22/01 Lion Air,https://www.ntsb.gov/investigations/Pages/DCA19RA007.aspx
B013,2015-11-01,"AoA Disagree Alert — cockpit warning that would indicate when left and right angle-of-attack sensors give conflicting readings — designed and built but designated optional paid feature; standard aircraft configuration does not include active alert; airlines must purchase separately; alert would warn pilots of faulty AoA input driving MCAS; made optional to avoid cost impact on base aircraft price",design_decision,Boeing,1,option_eliminated,9,financial,1,0,NTSB Accident Report AAR-22/01 Lion Air,https://www.ntsb.gov/investigations/Pages/DCA19RA007.aspx
B014,2016-03-01,"FAA issues type certificate for 737 MAX; certification documentation does not accurately describe MCAS operational authority range; MCAS not listed in pilot training requirements; FAA certification engineers working under ODA delegation do not have independent visibility into final MCAS design parameters; certificate issued based on safety analysis referencing superseded MCAS authority figures",regulatory_action,FAA/Boeing,1,correction_blocked,9,regulatory,0,0,FAA Type Certificate Data Sheet A16WE,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/3cf81cd3f6d5f35f862587250068c306/$FILE/A16WE.pdf
B015,2017-05-01,"First 737 MAX delivery to Malindo Air; production ramp accelerates toward 47/month target; Boeing reports 4700 plus orders on record; investors briefed on MAX contribution to financial performance; all financial and delivery metrics positive; no public disclosure of MCAS omission from pilot training; aircraft enters commercial service with pilots unaware of system that controls stabilizer",financial_milestone,Boeing,0,,3,financial,0,0,Boeing 2017 Annual Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000012927&type=10-K&dateb=&owner=include&count=40
B016,2017-09-01,"Boeing and FAA jointly determine that AoA Disagree Alert is non-functional on majority of delivered MAX aircraft due to software configuration issue with optional Display Unit; alert fails to activate when AoA sensors disagree; Boeing and FAA discuss remediation; decision made to address in future software update rather than immediate airworthiness directive; aircraft continue operating with non-functional safety alert",warning_signal,Boeing/FAA,1,warning_dismissed,8,operational,0,1,FAA Office of Inspector General Report 2019,https://www.oig.dot.gov/sites/default/files/FAA%20Oversight%20of%20Boeing%20737%20MAX%20Final%20Report.pdf
B017,2018-02-01,"Lion Air maintenance records document AoA sensor malfunction on multiple flights preceding fatal crash; sensor replaced after JT043 flight on October 28 2018 shows erroneous readings; aircraft returned to service without investigation into whether MCAS was activated by faulty sensor; no notification issued to other airlines operating MAX; no escalation to Boeing or FAA",warning_signal,Lion Air/Boeing,1,latency,8,operational,0,1,NTSB Accident Report AAR-22/01 Lion Air,https://www.ntsb.gov/investigations/Pages/DCA19RA007.aspx
B018,2018-07-01,"Internal Boeing communications document employee concerns about MCAS behavior during simulator evaluation; employees describe MCAS activating unexpectedly; concerns documented in internal communications but not routed to certification or flight safety review; employees describe organizational pressure not to raise issues affecting type rating determination or schedule",warning_signal,Boeing Employees,1,warning_dismissed,8,organizational,0,1,House Transportation Committee Report 2020,https://transportation.house.gov/imo/media/doc/2020.03.06%20FINAL%20737%20MAX%20Report%20for%20Public%20Release.pdf
B019,2018-10-29,"Lion Air Flight JT610 crashes into Java Sea 13 minutes after takeoff from Jakarta; all 189 people aboard killed; flight data recorder shows MCAS activated 26 times in final flight driven by erroneous AoA sensor reading; crew executed runaway stabilizer procedure but MCAS reactivated each time trim was released; crew had no knowledge of MCAS existence; AoA Disagree Alert non-functional on this aircraft",catastrophic_event,Lion Air,0,,10,safety,1,0,NTSB Accident Report AAR-22/01 Lion Air,https://www.ntsb.gov/investigations/Pages/DCA19RA007.aspx
B020,2018-11-06,"Boeing issues Operations Manual Bulletin to all 737 MAX operators describing runaway stabilizer procedure; bulletin does not mention MCAS by name; does not disclose MCAS as cause of Lion Air crash; does not disclose single AoA sensor architecture; FAA issues Emergency Airworthiness Directive same day consistent with Boeing framing; Max continues worldwide commercial operation; 346 additional people will fly MAX before next crash",corporate_response,Boeing/FAA,1,correction_blocked,9,safety,1,1,FAA Emergency AD 2018-23-51,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgAD.nsf/0/b0b9143f5b8d4a748625833b00746c4a/$FILE/2018-23-51_Emergency.pdf
B021,2018-11-13,"Boeing internal communications show company aware MCAS is root cause of Lion Air crash and that software update is required; Boeing internally targets MCAS software update for April 2019; senior Boeing leadership briefed on fix timeline; Max continues operating globally during eight month software development period; financial cost of grounding estimated internally and factored into decision not to ground",corporate_response,Boeing,1,correction_blocked,9,financial,1,1,House Transportation Committee Report 2020,https://transportation.house.gov/imo/media/doc/2020.03.06%20FINAL%20737%20MAX%20Report%20for%20Public%20Release.pdf
B022,2018-12-01,"Boeing lobbies FAA not to require simulator training as part of MCAS software update; internal communications show Boeing calculates cost to airlines of simulator training requirement at $1M per pilot; Boeing frames simulator training as unnecessary given software fix; FAA defers to Boeing framing; commitment to no-new-type-rating maintained even after fatal crash confirmed MCAS as cause",policy_decision,Boeing/FAA,1,correction_blocked,9,financial,1,1,Senate Commerce Committee Report 2020,https://www.commerce.senate.gov/services/files/2D1B74C1-D532-4A8F-B459-BFFFE5CDE5E5
B023,2019-01-21,"FAA issues Airworthiness Directive requiring pilot awareness training on stabilizer runaway procedure; directive does not require simulator training; does not disclose MCAS; Boeing type rating commitment preserved post-crash; training requirement limited to iPad-based bulletin review; pilots continue operating MAX without MCAS knowledge or simulator-validated recovery procedure",regulatory_action,FAA/Boeing,1,correction_blocked,9,regulatory,0,1,FAA AD 2019-03-13,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgAD.nsf/0/e5e348c7a75a0e0d8625838e006cbadb/$FILE/2019-03-13.pdf
B024,2019-03-10,"Ethiopian Airlines Flight ET302 crashes six minutes after takeoff from Addis Ababa; all 157 people aboard killed; flight data recorder shows identical MCAS activation pattern to Lion Air; crew executed Boeing post-Lion Air bulletin procedure exactly as written; procedure insufficient to arrest MCAS; crew had no knowledge of MCAS; 346 total deaths across two crashes separated by 5 months",catastrophic_event,Ethiopian Airlines,0,,10,safety,1,0,NTSB Accident Report DCA19RA107 Ethiopian Airlines,https://www.ntsb.gov/investigations/Pages/DCA19RA107.aspx
B025,2019-03-13,"FAA orders global grounding of 737 MAX; FAA last major aviation authority to act after China Civil Aviation Administration, European Aviation Safety Agency, Transport Canada all grounded MAX in preceding 48 hours; Boeing stock falls 12 percent; production suspended; estimated 400 MAX aircraft grounded worldwide; grounding reveals FAA had not independently verified MCAS parameters before type certificate issued",regulatory_action,FAA/International Regulators,0,,10,regulatory,1,0,FAA Emergency Order of Prohibition March 13 2019,https://www.faa.gov/news/press_releases/news_story.cfm?newsId=23734
B026,2019-04-01,"House Transportation Committee and Senate Commerce Committee launch parallel investigations; congressional subpoenas issued for Boeing internal communications; documents show Boeing employees raised MCAS concerns that were not acted upon; ODA self-certification structure identified as systemic failure; Boeing CEO Muilenburg testifies before both committees; internal emails describing clowns and monkeys entered into congressional record",legal_action,US Congress/Boeing,0,,8,regulatory,0,0,House Transportation Committee Report 2020,https://transportation.house.gov/imo/media/doc/2020.03.06%20FINAL%20737%20MAX%20Report%20for%20Public%20Release.pdf
B027,2019-06-01,"Boeing acknowledges MCAS software update will include dual AoA sensor input — the redundancy that internal engineers recommended in 2015 and was not implemented; fix that was available at design stage implemented only after 346 deaths; Boeing estimates $5B charge against earnings for MAX program costs; further charges to follow; total program cost eventually exceeds $20B",corporate_response,Boeing,1,latency,9,financial,0,0,Boeing Q2 2019 Earnings Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000012927&type=10-Q&dateb=&owner=include&count=40
B028,2019-12-01,"Boeing CEO Dennis Muilenburg fired; House Transportation Committee releases 238-page final report; report documents Boeing concealed MCAS information from FAA; finds FAA oversight delegation created structural conditions for failure; finds schedule and financial pressure systematically overrode safety culture; report finds Boeing employees who raised concerns were marginalized; Max remains grounded; accountability reaches executive level 14 months after first crash",government_report,House Transportation Committee,0,,9,regulatory,0,0,House Transportation Committee Report 2020,https://transportation.house.gov/imo/media/doc/2020.03.06%20FINAL%20737%20MAX%20Report%20for%20Public%20Release.pdf
B029,2020-11-18,"FAA ungrounds 737 MAX after 20-month grounding; MCAS software update certified; dual AoA sensor input now required; pilot simulator training now required — the requirement Boeing lobbied against post-Lion Air; Max returns to service with the redundancy and training that engineers recommended before first flight; Senate Commerce Committee releases separate 199-page report confirming House findings and adding additional evidence of FAA regulatory capture",regulatory_action,FAA,0,,7,regulatory,0,0,Senate Commerce Committee Report 2020,https://www.commerce.senate.gov/services/files/2D1B74C1-D532-4A8F-B459-BFFFE5CDE5E5
B030,2021-01-07,"Boeing enters deferred prosecution agreement with DOJ on single count of conspiracy to defraud the United States; $2.5B settlement includes $243M criminal fine, $1.77B to airline customers, $500M to crash victims families; agreement acknowledges Boeing employees deceived FAA; no individual Boeing employees criminally charged; accountability coupling at individual level severs at settlement",legal_action,DOJ/Boeing,1,correction_blocked,8,regulatory,0,0,DOJ Press Release January 7 2021,https://www.justice.gov/opa/pr/boeing-charged-737-max-fraud-conspiracy-and-agrees-pay-over-25-billion
